Time [s],Voltage [V],Set Frequency [rad/s],Measured Frequency [rad/s]
0,1,0,0
0.002,1,0.379784946236559,0
0.004,1,0.743235056075847,0
0.006,1,1.09105290312635,0
0.008,1,1.42391084277683,0.0756989176765132
0.01,1,1.74245231190471,0.184290023571238
0.012,1,2.047293072683,0.37540095741408
0.014,1,2.33902240289018,0.667349260968662
0.016,1,2.61820423502394,0.984250851916598
0.018,1,2.88537824642076,1.28318083605694
0.02,1,3.14106090248868,1.61872390192448
0.022,1,3.38574645506981,1.94067263270401
0.024,1,3.61990789786251,2.29929658825937
0.026,1,3.84399788075014,2.64208135147788
0.028,1,4.0584495848039,2.94258900890985
0.03,1,4.26367755965104,3.26659411824664
0.032,1,4.46007852482734,3.57115026649393
0.034,1,4.64803213666273,3.83527755951103
0.036,1,4.82790172218261,4.05177948931189
0.038,1,5.00003498144357,4.29721816305378
0.04,1,5.16476465966105,4.53386235355153
0.042,1,5.32240919042832,4.74246139777086
0.044,1,5.47327331127011,4.91551860686457
0.046,1,5.61764865272086,5.0525445146464
0.048,1,5.7558143020662,5.23253319773787
0.05,1,5.88803734283754,5.34196694636509
0.052,1,6.0145733711026,5.47867838269844
0.054,1,6.1356669895498,5.54074274199582
0.056,1,6.25155228032185,5.70827690926216
0.058,1,6.36245325751231,5.8398146887839
0.06,1,6.46858430019995,5.93917659872813
0.062,1,6.57015056685802,6.08727432388236
0.064,1,6.66734839193939,6.17104286490774
0.066,1,6.76036566540436,6.21224285881324
0.068,1,6.84938219592461,6.30237754594665
0.07,1,6.93457005846548,6.40970873280114
0.072,1,7.01609392691858,6.51561609083407
0.074,1,7.09411139242746,6.61031161273374
0.076,1,7.16877326802198,6.61398388751945
0.078,1,7.24022388015007,6.64445819306972
0.08,1,7.30860134767049,6.68621589905945
0.082,1,7.37403784884595,6.72986869945979
0.084,1,7.43665987685258,6.7702236232405
0.086,1,7.49658848429978,6.804837216985
0.088,1,7.55393951723312,6.83297325500721
0.09,1,7.60882383907256,6.93057740167673
0.092,1,7.6613475449189,6.97989053370878
0.094,1,7.71161216664282,6.99858743337553
0.096,1,7.75971486915281,7.07481307882644
0.098,1,7.8057486382215,7.09849150302998
0.1,1,7.84980246023348,7.16751320756719
0.102,1,7.89196149420193,7.1782012870148
0.104,1,7.9323072363868,7.15673046003107
0.106,1,7.97091767783253,7.12023128861104
0.108,1,8.00786745513005,7.07932118700545
0.11,1,8.04322799469435,7.11579571897561
0.112,1,8.07706765083653,7.11423365269194
0.114,1,8.10945183789732,7.16824320339387
0.116,1,8.14044315669744,7.17085461410696
0.118,1,8.17010151554916,7.14580231925761
0.12,1,8.19848424606318,7.18417095756554
0.122,1,8.22564621397444,7.17687048096493
0.124,1,8.25163992520134,7.2216382503779
0.126,1,8.27651562734322,7.21405197683872
0.128,1,8.30032140681233,7.25499769009401
0.13,1,8.32310328178814,7.3177799333589
0.132,1,8.3449052911736,7.31031034223292
0.134,1,8.36576957972527,7.34181795177646
0.136,1,8.38573647952203,7.31529997569696
0.138,1,8.40484458792969,7.33615835088518
0.14,1,8.42313084221228,7.38021960119798
0.142,1,8.44063059093434,7.35660525307723
0.144,1,8.457377662292,7.3749352024153
0.146,1,8.47340442950525,7.41382115053741
0.148,1,8.48874187339749,7.38413094282238
0.15,1,8.50341964228362,7.39650451022953
0.152,1,8.51746610928218,7.43008565436312
0.154,1,8.53090842716251,7.39596163328928
0.156,1,8.54377258083294,7.40480340753782
0.158,1,8.55608343757131,7.43568229814519
0.16,1,8.56786479509513,7.47526396125637
0.162,1,8.57913942756415,7.43988055293895
0.164,1,8.5899291296044,7.44371618648668
0.166,1,8.60025475843862,7.46808521863931
0.168,1,8.6101362742047,7.50099772418153
0.17,1,8.61959277853999,7.45951843798437
0.172,1,8.62864255150601,7.45816551078368
0.174,1,8.6373030869251,7.47834186260056
0.176,1,8.64559112619714,7.43230758385727
0.178,1,8.65352269066178,7.43121149562377
0.18,1,8.6611131125688,7.45418505105008
0.182,1,8.66837706471638,7.48772536688344
0.184,1,8.6753285888146,7.44789076417383
0.186,1,8.68198112262903,7.44856240301956
0.188,1,8.68834752595681,7.47076606116175
0.19,1,8.69444010548555,7.42656046277181
0.192,1,8.70027063858294,7.4270066621464
0.194,1,8.70585039606325,7.45121758020093
0.196,1,8.71119016397451,7.48571054701075
0.198,1,8.71630026444872,7.4465827614755
0.2,1,8.72119057565523,7.44776037655078
0.202,1,8.72587055089586,7.39461406512088
0.204,1,8.73034923687884,7.3934459756291
0.206,1,8.73463529120663,7.42010844673361
0.208,1,8.73873699911172,7.45897895299766
0.21,1,8.74266228947251,7.42482361508024
0.212,1,8.74641875014036,7.43080012746936
0.214,1,8.75001364260743,7.45758546020171
0.216,1,8.75345391604368,7.49282264446586
0.218,1,8.75674622072997,7.45338974676441
0.22,1,8.75989692091363,7.45373285065523
0.222,1,8.76291210711089,7.47525102815487
0.224,1,8.76579760788031,7.50593619424266
0.226,1,8.76855900108976,7.46278186232782
0.228,1,8.7712016246988,7.46021369798874
0.23,1,8.77373058707735,7.47953992600654
0.232,1,8.77615077688048,7.43293410917239
0.234,1,8.77846687249852,7.43147143590552
0.236,1,8.78068335110073,7.45422386968098
0.238,1,8.78280449728995,7.4876424501337
0.24,1,8.78483441138501,7.5234500382106
0.242,1,8.78677701734694,7.55699740024029
0.244,1,8.78863607036428,7.51032967897562
0.246,1,8.79041516411205,7.50119536112306
0.248,1,8.79211773769863,7.51297572655814
0.25,1,8.79374708231374,7.5347453215513
0.252,1,8.79530634759057,7.55969269440204
0.254,1,8.7967985476942,7.50817336348533
0.256,1,8.79822656714821,7.49666494173289
0.258,1,8.79959316641066,7.50762654720333
0.26,1,8.8009009872102,7.52948751455556
0.262,1,8.80215255765277,7.47930361507815
0.264,1,8.80335029710857,7.47135658783662
0.266,1,8.80449652088884,7.48671499662761
0.268,1,8.80559344472158,7.51298426800837
0.27,1,8.80664318903463,7.54247864035281
0.272,1,8.80764778305465,7.49508277119104
0.274,1,8.80860916872972,7.48706500754137
0.276,1,8.80952920448327,7.50083534013447
0.278,1,8.81040966880657,7.52486421236782
0.28,1,8.81125226369661,7.47629256171458
0.282,1,8.81205861794622,7.46950237970233
0.284,1,8.81283029029262,7.48566063221264
0.286,1,8.81356877243057,7.51246044935286
0.288,1,8.81427549189593,7.5422894124946
0.29,1,8.81495181482513,7.49509062632089
0.292,1,8.8155990485961,7.48717717389614
0.294,1,8.8162184443554,7.50099205583591
0.296,1,8.81681119943689,7.52502921497841
0.298,1,8.81737845967617,7.47644569787782
0.3,1,8.81792132162558,7.46963407463119
0.302,1,8.81844083467394,7.48576789670599
0.304,1,8.81893800307506,7.51254410072804
0.306,1,8.81941378788904,7.54235221707422
0.308,1,8.81986910884005,7.49513611663027
0.31,1,8.82030484609424,7.48720894236089
0.312,1,8.82072184196115,7.50101337226276
0.314,1,8.82112090252196,7.52504285443375
0.316,1,8.82150279918769,7.55215281541631
0.318,1,8.82186827019037,7.57822967065182
0.32,1,8.82221802201014,7.60118198177453
0.322,1,8.82255273074088,7.62020295440199
0.324,1,8.82287304339719,7.55955148809334
0.326,1,8.82317957916505,7.53810290856746
0.328,1,8.82347293059881,7.53967456541153
0.33,1,8.82375366476661,7.55336571159098
0.332,1,8.82402232434654,7.5721678210337
0.334,1,8.82427942867572,7.51614053246198
0.336,1,8.82452547475418,7.50144209740471
0.338,1,8.82476093820562,7.51023127153578
0.34,1,8.82498627419677,7.53067680216272
0.342,1,8.82520191831734,7.55531971826036
0.344,1,8.82540828742197,7.57976856127352
0.346,1,8.82560578043608,7.6017009186142
0.348,1,8.825794779127,7.54442790764217
0.35,1,8.82597564884197,7.52627338970741
0.352,1,8.82614873921436,7.53076899775931
0.354,1,8.82631438483954,7.5468981664065
