Time [s],Voltage [V],Set Frequency [rad/s],Measured Frequency [rad/s]
0,1,0,0
0.002,1,0.480161012075906,0
0.004,1,0.932710695107768,0
0.006,1,1.35923681959841,0.0756989176765132
0.008,1,1.76123585239896,0.184290023571238
0.01,1,2.14011820706262,0.299702039737567
0.012,1,2.49721319228041,0.558758155073938
0.014,1,2.83377367576055,0.793139918073756
0.016,1,3.15098047991463,1.06693145017887
0.018,1,3.4499465247729,1.41041341687126
0.02,1,3.73172073266405,1.75715466473
0.022,1,3.99729170835904,2.07141180237518
0.024,1,4.24759120759084,2.41303108958523
0.026,1,4.48349740611926,2.73552365902167
0.028,1,4.7058379808105,3.09168786024365
0.03,1,4.91539301354135,3.43065409323555
0.032,1,5.11289772811632,3.72699558223515
0.034,1,5.29904506980026,3.9713614258586
0.036,1,5.47448813651675,4.23959434416413
0.038,1,5.63984247024206,4.49407988232762
0.04,1,5.79568821663412,4.71611847276167
0.042,1,5.94257216047345,4.89894171626285
0.044,1,6.0810096440575,5.11850995626389
0.046,1,6.21148637527903,5.26030153821063
0.048,1,6.33446013173222,5.34662760938609
0.05,1,6.45036236682525,5.4705578266646
0.052,1,6.55959972353455,5.60230750468059
0.054,1,6.66255546111163,5.72522342038184
0.056,1,6.75959079974811,5.83129777665095
0.058,1,6.85104618791671,5.91792293635189
0.06,1,6.93724249683467,6.06132695937662
0.062,1,7.01848214624038,6.22085259436936
0.064,1,7.095050165433,6.29753095709572
0.066,1,7.16721519329769,6.39816544488606
0.068,1,7.23523042082514,6.50164133710635
0.07,1,7.29933447943209,6.52072071389317
0.072,1,7.35975227819965,6.56861493682778
0.074,1,7.41669579296678,6.62714653528413
0.076,1,7.47036481004747,6.68557324478492
0.078,1,7.52094762718102,6.73817754141989
0.08,1,7.56862171417464,6.85818435468062
0.082,1,7.6135543355562,6.92658770572307
0.084,1,7.65590313742186,6.9607244672289
0.086,1,7.69581670053734,7.04891971660097
0.088,1,7.73343506163352,7.08153601814474
0.09,1,7.76889020472533,7.08129800420113
0.092,1,7.80230652417758,7.13926417022532
0.094,1,7.83380126114264,7.14684540122034
0.096,1,7.86348491490097,7.12681267542618
0.098,1,7.89146163054784,7.16973199769279
0.1,1,7.91782956438638,7.16628305662139
0.102,1,7.94268122830895,7.13845052007588
0.104,1,7.96610381437514,7.17606230096626
