Model,TBS2102
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-05
Sample Interval,8e-09
Filter Frequency,1e+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Label,
TIME,CH1
-2.34000e-05,-13.75
-2.33920e-05,-13.5
-2.33840e-05,-13.75
-2.33760e-05,-13.75
-2.33680e-05,-13.5
-2.33600e-05,-13.75
-2.33520e-05,-13.75
-2.33440e-05,-13.75
-2.33360e-05,-13.75
-2.33280e-05,-13.75
-2.33200e-05,-13.75
-2.33120e-05,-13.75
-2.33040e-05,-13.5
-2.32960e-05,-13.5
-2.32880e-05,-13.5
-2.32800e-05,-13.75
-2.32720e-05,-13.75
-2.32640e-05,-13.75
-2.32560e-05,-13.75
-2.32480e-05,-13.75
-2.32400e-05,-13.75
-2.32320e-05,-13.5
-2.32240e-05,-13.5
-2.32160e-05,-13.5
-2.32080e-05,-13.75
-2.32000e-05,-13.75
-2.31920e-05,-13.5
-2.31840e-05,-13.5
-2.31760e-05,-13.75
-2.31680e-05,-13.75
-2.31600e-05,-13.5
-2.31520e-05,-13.5
-2.31440e-05,-13.75
-2.31360e-05,-13.75
-2.31280e-05,-13.75
-2.31200e-05,-13.75
-2.31120e-05,-13.75
-2.31040e-05,-13.75
-2.30960e-05,-13.5
-2.30880e-05,-13.5
-2.30800e-05,-13.75
-2.30720e-05,-13.5
-2.30640e-05,-13.75
-2.30560e-05,-13.75
-2.30480e-05,-13.75
-2.30400e-05,-13.75
-2.30320e-05,-13.75
-2.30240e-05,-13.75
-2.30160e-05,-13.75
-2.30080e-05,-13.75
-2.30000e-05,-13.75
-2.29920e-05,-13.75
-2.29840e-05,-13.75
-2.29760e-05,-13.75
-2.29680e-05,-13.75
-2.29600e-05,-13.75
-2.29520e-05,-13.75
-2.29440e-05,-13.75
-2.29360e-05,-13.75
-2.29280e-05,-13.75
-2.29200e-05,-13.75
-2.29120e-05,-13.75
-2.29040e-05,-13.75
-2.28960e-05,-13.75
-2.28880e-05,-13.75
-2.28800e-05,-13.5
-2.28720e-05,-13.5
-2.28640e-05,-13.75
-2.28560e-05,-13.5
-2.28480e-05,-13.75
-2.28400e-05,-13.75
-2.28320e-05,-13.75
-2.28240e-05,-13.5
-2.28160e-05,-13.75
-2.28080e-05,-13.75
-2.28000e-05,-13.75
-2.27920e-05,-13.75
-2.27840e-05,-13.5
-2.27760e-05,-13.75
-2.27680e-05,-13.75
-2.27600e-05,-13.75
-2.27520e-05,-13.75
-2.27440e-05,-13.75
-2.27360e-05,-13.5
-2.27280e-05,-13.75
-2.27200e-05,-13.75
-2.27120e-05,-13.75
-2.27040e-05,-13.75
-2.26960e-05,-13.5
-2.26880e-05,-13.75
-2.26800e-05,-13.75
-2.26720e-05,-13.75
-2.26640e-05,-13.75
-2.26560e-05,-13.75
-2.26480e-05,-13.75
-2.26400e-05,-13.75
-2.26320e-05,-13.75
-2.26240e-05,-13.75
-2.26160e-05,-13.75
-2.26080e-05,-13.5
-2.26000e-05,-13.75
-2.25920e-05,-13.75
-2.25840e-05,-13.75
-2.25760e-05,-13.75
-2.25680e-05,-13.75
-2.25600e-05,-13.75
-2.25520e-05,-13.75
-2.25440e-05,-13.75
-2.25360e-05,-13.75
-2.25280e-05,-13.75
-2.25200e-05,-13.75
-2.25120e-05,-13.75
-2.25040e-05,-13.75
-2.24960e-05,-13.5
-2.24880e-05,-13.75
-2.24800e-05,-13.75
-2.24720e-05,-13.5
-2.24640e-05,-13.75
-2.24560e-05,-13.75
-2.24480e-05,-13.5
-2.24400e-05,-13.75
-2.24320e-05,-13.75
-2.24240e-05,-13.75
-2.24160e-05,-13.75
-2.24080e-05,-13.75
-2.24000e-05,-13.75
-2.23920e-05,-13.75
-2.23840e-05,-13.75
-2.23760e-05,-13.75
-2.23680e-05,-13.75
-2.23600e-05,-13.75
-2.23520e-05,-13.75
-2.23440e-05,-13.75
-2.23360e-05,-13.75
-2.23280e-05,-13.75
-2.23200e-05,-13.75
-2.23120e-05,-14
-2.23040e-05,-13.75
-2.22960e-05,-13.75
-2.22880e-05,-13.5
-2.22800e-05,-13.75
-2.22720e-05,-13.75
-2.22640e-05,-13.75
-2.22560e-05,-13.75
-2.22480e-05,-13.75
-2.22400e-05,-13.75
-2.22320e-05,-13.5
-2.22240e-05,-13.75
-2.22160e-05,-13.75
-2.22080e-05,-13.75
-2.22000e-05,-13.75
-2.21920e-05,-13.75
-2.21840e-05,-13.75
-2.21760e-05,-13.5
-2.21680e-05,-13.75
-2.21600e-05,-13.5
-2.21520e-05,-13.5
-2.21440e-05,-13.75
-2.21360e-05,-13.75
-2.21280e-05,-13.75
-2.21200e-05,-13.75
-2.21120e-05,-13.75
-2.21040e-05,-13.75
-2.20960e-05,-13.75
-2.20880e-05,-13.75
-2.20800e-05,-13.75
-2.20720e-05,-13.75
-2.20640e-05,-13.5
-2.20560e-05,-13.75
-2.20480e-05,-13.5
