Instrument used: Keithley 238
Device ID: bpw34
-------------
Group 7's SCPE
2025-04-04
3:08 PM
Isc [A]: -0.000193
Voc [V]: 0.409180
Fill Factor: 0.604112
Power Conversion Efficiency: 0.095416
Series Resistance [Ohms]: 362.144444
Shunt Resistance [Ohms]: 27832.000000
-------------
Voltage (V), Current (A), Luminance (Cd/m2) 
0,-0.000193,0.008246
0.013916,-0.0001925,0.031123
0.027954,-0.000192,0.035259
0.046509,-0.000192,0.023373
0.062744,-0.000191,0.018912
0.07605,-0.00019,0.014739
0.092896,-0.000189,0.011134
0.109131,-0.00019,0.009915
0.121582,-0.000189,0.00918
0.142456,-0.000188,0.008813
0.156494,-0.000188,0.008958
0.17627,-0.000187,0.008533
0.187622,-0.000185,0.008522
0.205322,-0.000183,0.008349
0.219971,-0.000179,0.008466
0.238892,-0.000177,0.008411
0.251221,-0.000174,0.008287
0.268921,-0.000171,0.008293
0.284912,-0.000165,0.008331
0.300049,-0.000159,0.008182
0.317505,-0.00015,0.008251
0.330566,-0.00014,0.008193
0.348999,-0.000124,0.008081
0.36499,-0.000107,0.008119
0.380493,-0.000084,0.008034
0.398193,-0.00005,0.008558
0.40918,-0.000025,0.00811
0.430786,0.00004,0.008139
0.445801,0.000094,0.007997
0.463379,0.000184,0.008052
0.478516,0.000284,0.007994
0.494141,0.000405,0.007874
0.508179,0.000545,0.00779
0.527954,0.000766,0.007837
0.541992,0.000927,0.007813
0.560669,0.001181,0.007715
0.575073,0.001477,0.007801
0.591797,0.001783,0.007832
0.608276,0.002191,0.007971
0.622803,0.002541,0.007618
