Instrument used: Keithley 238 
Device ID: bpw34 
Voltage (V), Current (A)
0,-0.000193
0,-0.000193
0.013916,-0.000193
0.027954,-0.000192
0.046509,-0.000192
0.062744,-0.000191
0.07605,-0.00019
0.092896,-0.000189
0.109131,-0.00019
0.121582,-0.000189
0.142456,-0.000188
0.156494,-0.000188
0.17627,-0.000187
0.187622,-0.000185
0.205322,-0.000183
0.219971,-0.000179
0.238892,-0.000177
0.251221,-0.000174
0.268921,-0.000171
0.284912,-0.000165
0.300049,-0.000159
0.317505,-0.00015
0.330566,-0.00014
0.348999,-0.000124
0.36499,-0.000107
0.380493,-0.000084
0.398193,-0.00005
0.40918,-0.000025
0.430786,0.00004
0.445801,0.000094
0.463379,0.000184
0.478516,0.000284
0.494141,0.000405
0.508179,0.000545
0.527954,0.000766
0.541992,0.000927
0.560669,0.001181
0.575073,0.001477
0.591797,0.001783
0.608276,0.002191
0.622803,0.002541
